ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Value
100,,Nc1cc2nc3ccccc3nc2c(N)c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,SNFGVWYPLDAVPS-UHFFFAOYSA-N,-2.04
101,,Nc1cc(N)c2nc3ccccc3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,LQOOLZIMKNUQBY-UHFFFAOYSA-N,-2.01
102,,Nc1ccc2nc3c(N)cccc3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,MGBOELLXYMKWAK-UHFFFAOYSA-N,-2.04
103,,Nc1ccc2nc3c(N)c(N)ccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,AIHZGLXEEXAHAZ-UHFFFAOYSA-N,-2.09
104,,Nc1ccc2nc3ccc(N)c(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,QFGWIJOXBUUGTR-UHFFFAOYSA-N,-2.09
105,,Nc1ccc2nc3cccc(N)c3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,IYQHCPGJNZBANF-UHFFFAOYSA-N,-2.02
106,,Nc1cc(N)c2nc3cccc(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LIXTUFZWRPWZKM-UHFFFAOYSA-N,-2.13
107,,Nc1ccc2nc3c(N)cc(N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,YIUBUYNQMAMZSP-UHFFFAOYSA-N,-2.19
108,,Nc1ccc2nc3cc(N)cc(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,FHYHIRLLCAXUPF-UHFFFAOYSA-N,-2.15
109,,Nc1cc(N)c2nc3c(N)cccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,OCEXLMJDNCJTGJ-UHFFFAOYSA-N,-1.94
110,"phenazine-1,4,6-triamine",Nc1cccc2nc3c(N)ccc(N)c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,KTVHNJDBAJDMMM-UHFFFAOYSA-N,-1.99
111,"phenazine-1,4,7-triamine",Nc1ccc2nc3c(N)ccc(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,KTVHNJDBAJDMMM-UHFFFAOYSA-N,-2.05
112,"phenazine-1,7,8-triamine",Nc1cc2nc3cccc(N)c3nc2cc1N,c1ccc2nc3ccccc3nc2c1,Oxidized,NPSHKYRLDHUWLW-UHFFFAOYSA-N,-2.12
113,"phenazine-2,3,7-triamine",Nc1ccc2nc3cc(N)c(N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,NPSHKYRLDHUWLW-UHFFFAOYSA-N,-2.2
114,"phenazine-1,2,3,4-tetramine",Nc1c(N)c(N)c2nc3ccccc3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,OXKGDABVXYLLDJ-UHFFFAOYSA-N,-2.1
115,,Nc1cc2nc3c(N)cccc3nc2c(N)c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,IMLCWRNXWWXNLY-UHFFFAOYSA-N,-2.18
116,,Nc1ccc2nc3c(N)c(N)c(N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,VLLHHZSBELLUFJ-UHFFFAOYSA-N,-2.23
117,,Nc1ccc2nc3cc(N)c(N)c(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,ISIZMAVLCDIVBX-UHFFFAOYSA-N,-2.22
118,,Nc1cc2nc3cccc(N)c3nc2c(N)c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,SNFGVWYPLDAVPS-UHFFFAOYSA-N,-2.11
119,,Nc1cc(N)c2nc3c(N)cccc3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,XYTAPDGURJIPSS-UHFFFAOYSA-N,-2.12
120,,Nc1ccc2nc3c(N)c(N)cc(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,XMWFKRJHWAYIDL-UHFFFAOYSA-N,-2.19
121,,Nc1ccc2nc3c(N)cc(N)c(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,CTIGUUGQWFSGIA-UHFFFAOYSA-N,-2.18
122,,Nc1cc(N)c2nc3cccc(N)c3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,LQOOLZIMKNUQBY-UHFFFAOYSA-N,-2.1
123,,Nc1ccc2nc3c(N)c(N)ccc3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,ZYECOKBMCJLBCR-UHFFFAOYSA-N,-2.11
124,,Nc1ccc2nc3c(N)ccc(N)c3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,MGBOELLXYMKWAK-UHFFFAOYSA-N,-2.07
125,"phenazine-1,2,7,8-tetramine",Nc1cc2nc3ccc(N)c(N)c3nc2cc1N,c1ccc2nc3ccccc3nc2c1,Oxidized,MTWPZUFHOGPGMP-UHFFFAOYSA-N,-2.22
126,,Nc1ccc2nc3ccc(N)c(N)c3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,QFGWIJOXBUUGTR-UHFFFAOYSA-N,-2.11
127,,Nc1cc(N)c2nc3ccc(N)c(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,WVCWAEYOHUYWGQ-UHFFFAOYSA-N,-2.21
128,,Nc1cc(N)c2nc3cc(N)cc(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,BICSRJIMRBMQAH-UHFFFAOYSA-N,-2.25
129,,Nc1cc(N)c2nc3c(N)ccc(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,LIXTUFZWRPWZKM-UHFFFAOYSA-N,-2.34
130,,Nc1cc(N)c2nc3c(N)cc(N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,YIUBUYNQMAMZSP-UHFFFAOYSA-N,-2.29
131,,Nc1ccc(N)c2nc3c(N)ccc(N)c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,KTVHNJDBAJDMMM-UHFFFAOYSA-N,-2.02
132,,Nc1cc2nc3c(N)ccc(N)c3nc2cc1N,c1ccc2nc3ccccc3nc2c1,Oxidized,DWRMPLWGQQPTFK-UHFFFAOYSA-N,-2.27
133,"phenazine-2,3,7,8-tetramine",Nc1cc2nc3cc(N)c(N)cc3nc2cc1N,c1ccc2nc3ccccc3nc2c1,Oxidized,ZYECOKBMCJLBCR-UHFFFAOYSA-N,-2.32
134,,Nc1cc2nc3c(N)c(N)c(N)cc3nc2c(N)c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,SIJWPFTUOBLRQU-UHFFFAOYSA-N,-2.38
135,,Nc1cc2nc3cc(N)c(N)c(N)c3nc2c(N)c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,BAXIWBLPZLQWCP-UHFFFAOYSA-N,-2.36
136,,Nc1cc2nc3c(N)c(N)c(N)c(N)c3nc2cc1N,c1ccc2nc3ccccc3nc2c1,Oxidized,POKJTWZKGUCXST-UHFFFAOYSA-N,-2.35
137,,Nc1c(N)c(N)c2nc3c(N)ccc(N)c3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,ZCCPVWUXPYDVAD-UHFFFAOYSA-N,-2.21
138,,Nc1c(N)c(N)c2nc3c(N)c(N)c(N)c(N)c3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,OEICWHQQSJBKAQ-UHFFFAOYSA-N,-2.39
139,"phenazine-1,2-diol",Oc1ccc2nc3ccccc3nc2c1O,c1ccc2nc3ccccc3nc2c1,Oxidized,VSFGGPAWSZWOTI-UHFFFAOYSA-N,-1.84
140,"phenazine-1,7-diol",Oc1ccc2nc3c(O)cccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,YYGYKQIAGNVTNM-UHFFFAOYSA-N,-1.87
141,"phenazine-1,8-diol",Oc1ccc2nc3cccc(O)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,FSNHVRFXRAUXFJ-UHFFFAOYSA-N,-1.86
