ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,E0(VvsSHE),G_solv
261,,O=C1C=Cc2cc3c(cc2=C1[N+](=O)[O-])C(=O)C=CC=3,O=C1C=Cc2cc3c(cc2=C1)C(=O)C=CC=3,Oxidized,KIQXDTXUTPAUBI-UHFFFAOYSA-N,1.08,-47.82
262,,O=Cc1ccc2c(c1)=CC(=O)C(=O)C=2,O=C1C=c2ccccc2=CC1=O,Oxidized,PDPSKIJLEOWEES-UHFFFAOYSA-N,1.08,-45.47
263,,O=C1C=c2cccc(Cl)c2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,SOZQDQIUDDUQBW-UHFFFAOYSA-N,1.08,-51.58
264,,CN(C)c1cccc2cc3c(cc12)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,SXQDRLZBUPWKHN-UHFFFAOYSA-N,1.08,-106.45
265,,O=C1C=CC=c2cc3c(cc21)=CC=C([N+](=O)[O-])C3=O,O=C1C=CC=c2cc3c(cc21)=CC=CC3=O,Oxidized,UBEZQYAIFZNMFS-UHFFFAOYSA-N,1.08,-44.55
266,,O=C1C(=O)C(S(=O)(=O)O)=c2c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c2=C1S(=O)(=O)O,O=C1C=c2ccccc2=CC1=O,Oxidized,UTGLNCFBNKJXSS-UHFFFAOYSA-N,1.08,-63.63
267,,O=C1C=c2cc3ccc(S)cc3cc2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,DZFARFKTMHQKRQ-UHFFFAOYSA-N,1.09,-50.57
268,,COC(=O)C1=C(C(=O)OC)c2c(C(=O)OC)c3c(c(C(=O)OC)c2=C(C(=O)OC)C1=O)C(C(=O)OC)=C(C(=O)OC)C(=O)C=3C(=O)OC,O=C1C=Cc2cc3c(cc2=C1)C=CC(=O)C=3,Oxidized,NPUBTEHTKWWNNA-UHFFFAOYSA-N,1.09,-44.44
269,,COc1ccc2cc3c(cc2c1)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,OSHOESPODXRTNK-UHFFFAOYSA-N,1.09,-43.62
270,,O=C1C=c2cc3ccccc3cc2=C(P(=O)(O)O)C1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,QRGCPLGRWHQXRR-UHFFFAOYSA-N,1.09,-143.02
271,,O=C1C=Cc2cc3c(cc2=C1)C=CC(=O)C=3[N+](=O)[O-],O=C1C=Cc2cc3c(cc2=C1)C=CC(=O)C=3,Oxidized,UAGXUEDPLHBHOL-UHFFFAOYSA-N,1.09,-88.41
272,,O=C1C=c2ccc(C(F)(F)F)cc2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,YEOZHCXOACZADA-UHFFFAOYSA-N,1.09,-29.09
273,,O=C1C=c2cc3ccc(O)cc3cc2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,ZZKDXBQSZJDAMZ-UHFFFAOYSA-N,1.09,-82.21
274,,O=CC1=CC=C2C=CC(=O)C=C2C1=O,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,HSRJLTXNXRSWDD-UHFFFAOYSA-N,1.1,-87.13
275,,O=CC1=C(C=O)C(C=O)=C2C(C=O)=C(C=O)C(=O)C(C=O)=C2C1=O,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,JSYMFDAAGGWLCY-UHFFFAOYSA-N,1.1,-69.52
276,,O=C1C=c2cccc(P(=O)(O)O)c2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,KFAIJKQBHVGUHI-UHFFFAOYSA-N,1.1,-35.28
277,,O=C1C(=O)C(F)=c2c(F)c(F)c(F)c(F)c2=C1F,O=C1C=c2ccccc2=CC1=O,Oxidized,ROLOEBMRXRFQFZ-UHFFFAOYSA-N,1.1,-166.86
278,,O=C(O)C1=C(C(=O)O)C2=C(C(=O)O)C(=O)C(C(=O)O)=C(C(=O)O)C2=C(C(=O)O)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,SIMZXMXSBYOJBJ-UHFFFAOYSA-N,1.1,-73.86
279,,COC(=O)C1=CC=C2C(=O)C=CC=C2C1=O,O=C1C=CC=C2C(=O)C=CC=C12,Oxidized,YDJMEOKFZLZDTM-UHFFFAOYSA-N,1.1,-90.31
280,,O=C1C=c2cc3ccccc3c(O)c2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,YSPRWBUBXPUQIZ-UHFFFAOYSA-N,1.1,-36.8
281,,Cc1ccc2cc3c(cc2c1)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,ZBTBLKMTXUGLHF-UHFFFAOYSA-N,1.1,-50.86
282,,COC(=O)c1cccc2c1=CC(=O)C(=O)C=2,O=C1C=c2ccccc2=CC1=O,Oxidized,AUHUEAPYMOMSPR-UHFFFAOYSA-N,1.11,-65.75
283,"5,6-dioxocyclohexa-1,3-diene-1-carbaldehyde",O=CC1=CC=CC(=O)C1=O,O=C1C=CC=CC1=O,Oxidized,AVJDOOBJBYUFKI-UHFFFAOYSA-N,1.11,-64.72
284,,COC(=O)C1=C(C(=O)OC)C(C(=O)OC)=C2C(C(=O)OC)=C(C(=O)OC)C(=O)C(C(=O)OC)=C2C1=O,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,CTUOKCSHQXVTOA-UHFFFAOYSA-N,1.11,-8.19
285,,O=C1C([N+](=O)[O-])=C([N+](=O)[O-])C(=O)C([N+](=O)[O-])=C1[N+](=O)[O-],O=C1C=CC(=O)C=C1,Oxidized,FQZSAEBDIBDEGW-UHFFFAOYSA-N,1.11,-38.64
