ID,IUPACName,SMILES,CoreSMILES,State,InchIKey,HOMOLUMO,SFE,pred_hl,pred_sfe
1322,"2,3,5,6,7,8-hexahydroxynaphthalene-1,4-dione",O=C1C(O)=C(O)C(=O)c2c(O)c(O)c(O)c(O)c21,O=C1C=CC(=O)c2ccccc21,Oxidized,RUQPQFLYDCXMGX-UHFFFAOYSA-N,5.756,-17.37526222,6.16989499999999,-14.976683
1323,,O=C1C(S)=C(S)C2=C(S)C(=O)C(S)=C(S)C2=C1S,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,VLWCNPSFGJKPFQ-UHFFFAOYSA-N,5.775,-11.5299844,5.797026,-11.8860035
1324,,CC1=C(C)C2=C(C)C(=O)C(C)=C(C)C2=C(C)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,RXHKRKUBZMFRME-UHFFFAOYSA-N,6.327,-10.91567319,6.28351999999999,-10.732542
1325,"1,3,4,5,7,8-hexafluoronaphthalene-2,6-dione",O=C1C(F)=C(F)C2=C(F)C(=O)C(F)=C(F)C2=C1F,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,OMDUINLKEXUKSG-UHFFFAOYSA-N,6.571,-7.468962736,6.443876,-7.4670258
1326,,O=C1C(Cl)=C(Cl)C2=C(Cl)C(=O)C(Cl)=C(Cl)C2=C1Cl,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,MIOFIZMXVDUWGV-UHFFFAOYSA-N,6.57299999999999,-8.482152817,6.2882233,-8.557764
1327,"anthracene-2,9-dione",O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,RLISRKPLQXUHMV-UHFFFAOYSA-N,6.142,-10.09460053,6.162996,-10.305956
1328,,CN(C)C1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,QPGSJVFCYLFUMY-UHFFFAOYSA-N,6.263,-12.63404356,6.15283779999999,-12.363255
1329,,C=CC1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,ZGLTXPBCTYWICK-UHFFFAOYSA-N,6.211,-9.764677982,6.253284,-9.826986
1330,,O=CC1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,JLOMLILANSXDNP-UHFFFAOYSA-N,6.184,-13.3561596,6.195072,-13.562789
1331,,COC(=O)C1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,XNVXJVYXMCSEHK-UHFFFAOYSA-N,6.221,-16.77889382,6.2059875,-15.04836
1332,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1C(F)(F)F,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,KBXAEWBVNDURJS-UHFFFAOYSA-N,6.154,-11.29407886,6.18441719999999,-10.148999
1333,,N#CC1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,AJUCHHQJASHCFA-UHFFFAOYSA-N,6.184,-16.36722757,6.1490817,-14.231465
1334,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1C(O)O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,VGGZUCDULGZREW-UHFFFAOYSA-N,6.107,-13.33582585,6.2275176,-13.516501
1335,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1OP(O)O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,MMDCKXGLACKCJR-UHFFFAOYSA-N,6.444,-14.99695875,6.151611,-14.680972
1336,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1OS(=O)O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,XFWKJZNHQVAFRP-UHFFFAOYSA-N,6.224,-14.73478467,6.235188,-14.6963079999999
1337,,O=NOC1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,MQKBKMDJDPCCHI-UHFFFAOYSA-N,6.211,-12.27795986,6.114551,-12.14266
1338,,NC1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,WXGJAAJWMAVYTN-UHFFFAOYSA-N,6.285,-12.65843719,6.124639,-12.906897
1339,,COC1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,RCORAAWGXXRSRP-UHFFFAOYSA-N,6.265,-12.87954705,6.2006774,-11.87198
1340,"9-hydroxyanthracene-1,2-dione",O=C1C=Cc2cc3ccccc3c(O)c2C1=O,O=C1C=Cc2cc3ccccc3cc2C1=O,Oxidized,SRGGMHDRBLKUQY-UHFFFAOYSA-N,6.44,-12.4757082,6.299067,-12.529519
1341,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1S,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,PMNICWSMPUZYCI-UHFFFAOYSA-N,6.216,-11.66463478,6.0218563,-11.1768465
1342,,CC1=C2C(=O)c3ccccc3C=C2C=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,QJJIEQPMNNFRBD-UHFFFAOYSA-N,6.237,-9.650884284,6.2485747,-10.041894
1343,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1[SiH3],O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,OPTGXABKLKQXJY-UHFFFAOYSA-N,6.065,-10.34040464,6.1579823,-10.631611
1344,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1F,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,XUSVFGOAJIFCPF-UHFFFAOYSA-N,6.313,-10.63750285,6.3286037,-10.39194
1345,,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1Cl,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,WJKDYXIISDGSFU-UHFFFAOYSA-N,6.247,-11.19254316,5.8411217,-10.7105664999999
1346,,CN(C)C1=CC2=Cc3ccccc3C(=O)C2=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,IWFKMYGFYPSCHS-UHFFFAOYSA-N,6.11799999999999,-10.7347201999999,6.05401299999999,-11.1150255
1347,,C=CC1=CC2=Cc3ccccc3C(=O)C2=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,QXYRWHRZJSCVFE-UHFFFAOYSA-N,6.136,-10.0440563,6.124193,-9.985405
1348,,O=CC1=CC2=Cc3ccccc3C(=O)C2=CC1=O,O=C1C=CC2=Cc3ccccc3C(=O)C2=C1,Oxidized,DIPHKDRHRGEOEK-UHFFFAOYSA-N,6.159,-13.02259923,6.1551003,-13.403158
