ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Hammett_sigma,QQ.(VvsNHE),Q.Q=(VvsNHE)
210,"1,3,8-trihydroxy-6-methylanthracene-9,10-dione",Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,RHMXXJGYXNZAPX-UHFFFAOYSA-N,-1.28,-0.328,-0.864
211,"1,2,5,8-tetrahydroxyanthracene-9,10-dione",O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,VBHKTXLEJZIDJF-UHFFFAOYSA-N,-1.48,-0.296,-0.87
212,"1,4,5,8-tetrahydroxyanthracene-9,10-dione",O=C1c2c(O)ccc(O)c2C(=O)c2c(O)ccc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,SOGCSKLTQHBFLP-UHFFFAOYSA-N,-1.48,-0.141,-0.702
213,"1,4,5,8-tetrahydroxy-2-methylanthracene-9,10-dione",Cc1cc(O)c2c(c1O)C(=O)c1c(O)ccc(O)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,NFQXCHAJWVRYND-UHFFFAOYSA-N,-1.65,-0.184,-0.735
214,"1,2,4,5,8-pentahydroxyanthracene-9,10-dione",O=C1c2c(O)ccc(O)c2C(=O)c2c(O)c(O)cc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,LLDSAQJCCUZHBA-UHFFFAOYSA-N,-1.85,-0.235,-0.804
215,"1,2,3,5,6,7-hexahydroxyanthracene-9,10-dione",O=C1c2cc(O)c(O)c(O)c2C(=O)c2cc(O)c(O)c(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,NEIMTOOWBACOHT-UHFFFAOYSA-N,-2.22,-0.255,
216,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,AOJJSUZBOXZQNB-TZSSRYMLSA-N,,-0.425,
217,"(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,STQGQHZAVUOBTE-VGBVRHCVSA-N,,-0.398,
218,"1-piperidin-1-ylanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2c1cccc2N1CCCCC1,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,KKECLMYNUGARQZ-UHFFFAOYSA-N,,-0.685,-1.31
219,"2-piperidin-1-ylanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2cc(N3CCCCC3)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,ZBKREKXRZLODLG-UHFFFAOYSA-N,,-0.672,-1.286
